codigo;nombre;docAnfitrion;departamento;municipio;tipo;direccion;precio;amenidades
ALOJ001;Alojamiento001;10000001;Antioquia;Puerto Triunfo;apartamento;Calle 1 #3-84;120785;1,1,0,1,1,1
ALOJ002;Alojamiento002;10000002;Antioquia;Bolivar;apartamento;Calle 2 #90-81;80202;0,1,1,1,0,1
ALOJ003;Alojamiento003;10000002;Antioquia;San Vicente;apartamento;Calle 3 #87-6;237355;0,0,0,0,0,1
ALOJ004;Alojamiento004;10000002;Antioquia;San Carlos;casa;Calle 4 #40-96;207499;0,1,1,1,0,1
ALOJ005;Alojamiento005;10000003;Antioquia;Liborina;apartamento;Calle 5 #20-65;159824;1,1,0,0,1,0
ALOJ006;Alojamiento006;10000003;Antioquia;El Penol;casa;Calle 6 #2-50;129998;0,1,0,0,1,0
ALOJ007;Alojamiento007;10000003;Antioquia;Caracoli;apartamento;Calle 7 #55-25;91981;1,1,0,1,1,1
ALOJ008;Alojamiento008;10000004;Antioquia;Betania;apartamento;Calle 8 #71-97;194766;1,1,0,0,1,0
ALOJ009;Alojamiento009;10000004;Antioquia;El Carmen de Viboral;casa;Calle 9 #5-77;107113;0,0,0,0,0,1
ALOJ010;Alojamiento010;10000004;Antioquia;Nechi;casa;Calle 10 #59-68;88398;0,0,1,1,1,0
ALOJ011;Alojamiento011;10000005;Antioquia;Zaragoza;apartamento;Calle 11 #37-29;176214;0,1,0,1,0,1
ALOJ012;Alojamiento012;10000005;Antioquia;Concepcion;casa;Calle 12 #48-62;124285;1,0,0,0,1,0
ALOJ013;Alojamiento013;10000005;Antioquia;Argelia;casa;Calle 13 #26-97;222907;0,1,0,1,1,1
ALOJ014;Alojamiento014;10000006;Antioquia;Belen de Bajira;apartamento;Calle 14 #46-15;212750;0,0,0,1,0,1
ALOJ015;Alojamiento015;10000007;Antioquia;Santa Barbara;apartamento;Calle 15 #10-98;151656;1,1,0,1,0,1
ALOJ016;Alojamiento016;10000007;Antioquia;La Pintada;casa;Calle 16 #66-66;102790;0,0,1,1,1,0
ALOJ017;Alojamiento017;10000008;Antioquia;Frontino;apartamento;Calle 17 #12-60;196623;0,0,0,1,0,1
ALOJ018;Alojamiento018;10000008;Antioquia;San Luis;apartamento;Calle 18 #11-62;226389;0,1,0,0,0,0
ALOJ019;Alojamiento019;10000008;Antioquia;Ituango;apartamento;Calle 19 #68-41;183373;0,0,0,0,0,0
ALOJ020;Alojamiento020;10000009;Antioquia;El Carmen de Viboral;casa;Calle 20 #65-34;165322;0,0,0,1,0,0
ALOJ021;Alojamiento021;10000010;Antioquia;Sopetran;casa;Calle 21 #39-64;134983;1,0,0,1,0,0
ALOJ022;Alojamiento022;10000010;Antioquia;Sopetran;apartamento;Calle 22 #98-86;213392;0,0,0,0,0,1
ALOJ023;Alojamiento023;10000011;Antioquia;Campamento;casa;Calle 23 #42-28;214858;0,0,0,0,1,0
ALOJ024;Alojamiento024;10000011;Antioquia;Zaragoza;casa;Calle 24 #1-57;227398;0,1,1,0,1,1
ALOJ025;Alojamiento025;10000012;Antioquia;Olaya;casa;Calle 25 #46-10;224533;0,0,0,1,1,0
ALOJ026;Alojamiento026;10000012;Antioquia;Abejorral;apartamento;Calle 26 #49-98;120738;1,1,1,1,1,1
ALOJ027;Alojamiento027;10000012;Antioquia;Tarso;casa;Calle 27 #59-22;105092;0,1,1,1,1,0
ALOJ028;Alojamiento028;10000013;Antioquia;San Roque;casa;Calle 28 #24-60;232532;1,1,0,0,1,0
ALOJ029;Alojamiento029;10000013;Antioquia;Sabanalarga;apartamento;Calle 29 #48-15;139609;0,0,0,0,0,1
ALOJ030;Alojamiento030;10000014;Antioquia;Canasgordas;apartamento;Calle 30 #28-50;245393;1,0,0,1,0,0
ALOJ031;Alojamiento031;10000015;Antioquia;Buritica;casa;Calle 31 #39-66;101256;0,0,0,1,0,1
ALOJ032;Alojamiento032;10000015;Antioquia;Rionegro;casa;Calle 32 #81-22;203385;0,0,0,0,1,0
ALOJ033;Alojamiento033;10000015;Antioquia;La Pintada;apartamento;Calle 33 #15-37;89213;0,1,0,0,0,1
