codigo;nombre;docAnfitrion;departamento;municipio;tipo;direccion;precio;amenidades
ALOJ0001;Alojamiento0002;10000007;Antioquia;Guarne;casa;Calle 33 #10-27;172140;0,1,0,0,1,0
ALOJ0002;Alojamiento0003;10000030;Antioquia;Jerico;apartamento;Calle 3 #40-60;208515;1,1,0,0,1,1
ALOJ0003;Alojamiento0004;10000053;Antioquia;Salgar;casa;Calle 96 #41-50;107039;0,0,1,1,0,1
ALOJ0004;Alojamiento0005;10000082;Antioquia;Santa Rosa de Osos;apartamento;Calle 2 #97-68;223181;0,0,0,0,0,1
ALOJ0005;Alojamiento0006;10000087;Antioquia;El Retiro;apartamento;Calle 41 #37-93;115413;0,1,1,1,0,0
ALOJ0006;Alojamiento0007;10000010;Antioquia;Mutata;casa;Calle 24 #33-76;226020;0,1,0,1,0,0
ALOJ0007;Alojamiento0008;10000025;Antioquia;Girardota;casa;Calle 88 #35-42;86591;1,1,1,1,0,1
ALOJ0008;Alojamiento0009;10000091;Antioquia;San Jeronimo;casa;Calle 28 #73-95;150383;1,0,1,1,0,1
ALOJ0009;Alojamiento0010;10000027;Antioquia;Tamesis;apartamento;Calle 23 #82-100;221120;1,1,1,1,1,1
ALOJ0010;Alojamiento0011;10000029;Antioquia;Santo Domingo;casa;Calle 83 #96-69;124054;0,1,0,0,1,1
ALOJ0011;Alojamiento0012;10000074;Antioquia;Chigorodo;apartamento;Calle 25 #12-25;94579;0,1,1,0,1,0
ALOJ0012;Alojamiento0013;10000049;Antioquia;Canasgordas;apartamento;Calle 92 #78-36;207737;0,0,1,1,1,0
ALOJ0013;Alojamiento0014;10000078;Antioquia;San Andres de Cuerquia;casa;Calle 61 #75-23;247111;0,1,1,0,1,1
ALOJ0014;Alojamiento0015;10000057;Antioquia;Maceo;casa;Calle 63 #53-91;245644;1,1,0,0,0,1
ALOJ0015;Alojamiento0016;10000037;Antioquia;La Estrella;apartamento;Calle 8 #97-92;248952;1,1,1,0,1,0
ALOJ0016;Alojamiento0017;10000071;Antioquia;Mutata;casa;Calle 81 #40-88;141211;1,0,1,1,1,0
ALOJ0017;Alojamiento0018;10000098;Antioquia;Titiribi;apartamento;Calle 93 #37-33;125397;0,1,1,1,1,1
ALOJ0018;Alojamiento0019;10000006;Antioquia;Canasgordas;apartamento;Calle 95 #71-53;100935;1,0,1,1,1,0
ALOJ0019;Alojamiento0020;10000024;Antioquia;Angelopolis;apartamento;Calle 19 #60-53;235381;1,1,1,0,1,1
ALOJ0020;Alojamiento0021;10000062;Antioquia;Carolina del Principe;apartamento;Calle 24 #33-76;202400;0,1,1,1,1,1
ALOJ0021;Alojamiento0022;10000043;Antioquia;Apartado;casa;Calle 1 #27-24;205529;1,1,1,0,1,1
ALOJ0022;Alojamiento0023;10000096;Antioquia;Itagui;apartamento;Calle 74 #60-84;181423;1,0,1,0,0,0
ALOJ0023;Alojamiento0024;10000070;Antioquia;La Ceja;apartamento;Calle 24 #33-76;109748;1,1,1,1,0,0
ALOJ0024;Alojamiento0025;10000001;Antioquia;Buritica;casa;Calle 84 #90-18;156521;1,0,0,0,0,1
ALOJ0025;Alojamiento0026;10000003;Antioquia;Santo Domingo;apartamento;Calle 79 #48-9;187339;1,0,0,0,1,0
