codigo;nombre;docAnfitrion;departamento;municipio;tipo;direccion;precio;amenidades
ALOJ001;Alojamiento001;10000001;Antioquia;Alejandria;apartamento;Calle 1 #13-95;221586;0,1,1,0,1,1
ALOJ002;Alojamiento002;10000002;Antioquia;Briceno;casa;Calle 2 #75-11;108141;0,1,0,0,1,1
ALOJ003;Alojamiento003;10000002;Antioquia;San Andres de Cuerquia;casa;Calle 3 #87-67;179933;0,1,1,1,0,1
ALOJ004;Alojamiento004;10000002;Antioquia;Urrao;casa;Calle 4 #44-32;240663;1,1,0,0,1,0
ALOJ005;Alojamiento005;10000002;Antioquia;Carolina del Principe;casa;Calle 5 #20-18;238343;1,0,0,0,0,1
ALOJ006;Alojamiento006;10000002;Antioquia;Caldas;apartamento;Calle 6 #50-83;143046;1,0,0,1,1,0
ALOJ007;Alojamiento007;10000003;Antioquia;Yarumal;apartamento;Calle 7 #12-33;219089;0,0,1,0,0,0
ALOJ008;Alojamiento008;10000004;Antioquia;Mutata;apartamento;Calle 8 #10-59;203805;0,0,0,1,1,0
ALOJ009;Alojamiento009;10000004;Antioquia;Cocorna;casa;Calle 9 #18-86;93487;1,1,0,1,1,0
ALOJ010;Alojamiento010;10000004;Antioquia;San Juan de Uraba;casa;Calle 10 #21-38;98387;0,0,1,0,1,0
ALOJ011;Alojamiento011;10000004;Antioquia;El Santuario;apartamento;Calle 11 #73-14;147017;0,0,0,0,1,1
ALOJ012;Alojamiento012;10000005;Antioquia;Puerto Triunfo;casa;Calle 12 #46-23;172028;1,0,0,0,0,1
ALOJ013;Alojamiento013;10000005;Antioquia;Fredonia;apartamento;Calle 13 #79-28;168709;1,0,1,0,0,1
ALOJ014;Alojamiento014;10000005;Antioquia;Turbo;apartamento;Calle 14 #93-28;100037;0,1,0,0,1,0
ALOJ015;Alojamiento015;10000006;Antioquia;San Vicente;casa;Calle 15 #6-55;144116;1,1,0,1,1,1
ALOJ016;Alojamiento016;10000007;Antioquia;San Juan de Uraba;apartamento;Calle 16 #36-49;234722;1,1,0,1,0,0
ALOJ017;Alojamiento017;10000008;Antioquia;Heliconia;apartamento;Calle 17 #48-29;208008;0,0,0,1,0,0
ALOJ018;Alojamiento018;10000008;Antioquia;Guadalupe;casa;Calle 18 #22-21;100927;1,0,1,1,0,1
ALOJ019;Alojamiento019;10000009;Antioquia;La Estrella;casa;Calle 19 #14-80;145801;0,0,0,1,1,1
ALOJ020;Alojamiento020;10000009;Antioquia;Taraza;apartamento;Calle 20 #45-57;244134;0,0,1,0,0,0
ALOJ021;Alojamiento021;10000009;Antioquia;Caucasia;casa;Calle 21 #98-97;208533;0,0,0,1,1,0
ALOJ022;Alojamiento022;10000009;Antioquia;La Estrella;casa;Calle 22 #82-47;207658;0,0,0,0,0,0
ALOJ023;Alojamiento023;10000009;Antioquia;Arboletes;apartamento;Calle 23 #65-59;193205;0,1,1,1,0,1
ALOJ024;Alojamiento024;10000010;Antioquia;Betania;apartamento;Calle 24 #17-66;165678;1,1,1,1,0,0
ALOJ025;Alojamiento025;10000010;Antioquia;Caceres;apartamento;Calle 25 #36-95;118211;1,0,0,1,1,1
ALOJ026;Alojamiento026;10000010;Antioquia;San Vicente;apartamento;Calle 26 #19-32;132489;0,1,1,1,1,1
ALOJ027;Alojamiento027;10000011;Antioquia;Murindo;casa;Calle 27 #35-39;192973;1,1,1,1,0,1
ALOJ028;Alojamiento028;10000011;Antioquia;Tamesis;casa;Calle 28 #7-49;239930;0,1,1,1,1,1
ALOJ029;Alojamiento029;10000012;Antioquia;Maceo;apartamento;Calle 29 #88-52;132857;0,0,0,0,0,0
ALOJ030;Alojamiento030;10000013;Antioquia;Giraldo;apartamento;Calle 30 #49-57;204097;0,1,0,0,1,1
ALOJ031;Alojamiento031;10000013;Antioquia;Guadalupe;apartamento;Calle 31 #98-24;192999;0,0,1,0,1,0
ALOJ032;Alojamiento032;10000013;Antioquia;Betania;apartamento;Calle 32 #37-4;214029;0,1,0,1,1,1
ALOJ033;Alojamiento033;10000013;Antioquia;San Francisco;apartamento;Calle 33 #3-43;110455;1,0,1,0,0,1
ALOJ034;Alojamiento034;10000013;Antioquia;Gomez Plata;casa;Calle 34 #95-3;178506;1,1,0,0,1,1
ALOJ035;Alojamiento035;10000014;Antioquia;El Carmen de Viboral;apartamento;Calle 35 #82-23;235907;1,0,0,0,0,0
ALOJ036;Alojamiento036;10000014;Antioquia;San Jeronimo;casa;Calle 36 #98-30;166851;1,1,1,0,0,0
